Location,DevelopmentTiers,Max_Index_Country,CountryCovidDeathTiers,TOTALTESTS,TOTALCASES,TestingCoverage,RankOfTestCoverage
Cameroon,low development,0.563,Excellent,0,72250,Critical Testing Shortage,2
Asia,low development,NULL,Excellent,0,38702527,Critical Testing Shortage,2
Azerbaijan,medium development,0.756,Excellent,22950,319109,Critical Testing Shortage,2
Bahamas,high development,0.814,Excellent,0,10453,Critical Testing Shortage,2
Barbados,high development,0.814,Excellent,0,3855,Critical Testing Shortage,2
Antigua and Barbuda,medium development,0.778,Excellent,0,1232,Critical Testing Shortage,2
Afghanistan,low development,0.511,Excellent,0,59745,Critical Testing Shortage,2
Africa,low development,NULL,Excellent,0,4557699,Critical Testing Shortage,2
Algeria,medium development,0.748,Excellent,0,122108,Critical Testing Shortage,2
Andorra,high development,0.868,Excellent,0,13232,Critical Testing Shortage,2
Angola,low development,0.581,Excellent,0,26652,Critical Testing Shortage,2
Belarus,high development,0.823,Excellent,513058,358738,Critical Testing Shortage,3
Mauritania,low development,0.546,Excellent,23429,18402,Critical Testing Shortage,3
Malawi,low development,0.483,Excellent,57004,34078,Critical Testing Shortage,3
Peru,medium development,0.777,Excellent,3195388,1799445,Critical Testing Shortage,3
Oman,high development,0.813,Excellent,200640,193253,Critical Testing Shortage,3
Mexico,medium development,0.779,Excellent,6178248,2344755,Critical Testing Shortage,4
Madagascar,low development,0.528,Excellent,75907,37014,Critical Testing Shortage,4
Iran,medium development,0.783,Excellent,5853262,2499077,Critical Testing Shortage,4
Argentina,high development,0.845,Excellent,8563665,2977363,Critical Testing Shortage,4
Armenia,medium development,0.776,Excellent,460180,216064,Critical Testing Shortage,4
Bolivia,medium development,0.718,Excellent,1079159,303732,Critical Testing Shortage,5
Bosnia and Herzegovina,medium development,0.78,Excellent,613431,198461,Critical Testing Shortage,5
Costa Rica,high development,0.81,Excellent,798469,250991,Critical Testing Shortage,5
Ecuador,medium development,0.759,Excellent,1197554,381862,Critical Testing Shortage,5
Jamaica,medium development,0.734,Excellent,150952,45578,Critical Testing Shortage,5
Kenya,medium development,0.601,Excellent,573729,159318,Critical Testing Shortage,5
Paraguay,medium development,0.728,Excellent,1078106,279077,Critical Testing Shortage,5
Ukraine,medium development,0.779,Excellent,6514739,2124070,Critical Testing Shortage,5
South Sudan,low development,0.433,Excellent,51373,10583,Critical Testing Shortage,6
Poland,high development,0.88,Excellent,13609387,2792142,Critical Testing Shortage,6
Palestine,medium development,0.708,Excellent,1368355,296462,Critical Testing Shortage,6
North Macedonia,medium development,0.774,Excellent,714889,152367,Critical Testing Shortage,6
Slovenia,high development,0.917,Excellent,1174592,240292,Critical Testing Shortage,6
Indonesia,medium development,0.718,Excellent,7199995,1668368,Critical Testing Shortage,6
Libya,medium development,0.724,Excellent,771033,177508,Critical Testing Shortage,6
Nigeria,low development,0.539,Excellent,702055,165110,Critical Testing Shortage,6
Dominican Republic,medium development,0.756,Excellent,1183657,266561,Critical Testing Shortage,6
Croatia,high development,0.851,Excellent,1550243,332183,Critical Testing Shortage,6
Democratic Republic of Congo,low development,0.48,Excellent,132448,29853,Critical Testing Shortage,6
Bulgaria,high development,0.816,Excellent,2020240,404380,Critical Testing Shortage,6
Albania,medium development,0.795,Excellent,610865,131085,Critical Testing Shortage,6
Cape Verde,medium development,0.665,Excellent,125024,23882,Critical Testing Shortage,7
Colombia,medium development,0.767,Excellent,14307709,2859724,Critical Testing Shortage,7
Guatemala,medium development,0.663,Excellent,1251067,227671,Critical Testing Shortage,7
Serbia,high development,0.806,Excellent,3814507,689557,Critical Testing Shortage,7
Romania,high development,0.828,Excellent,5589481,1055265,Critical Testing Shortage,7
Panama,high development,0.815,Excellent,2371759,364576,Critical Testing Shortage,8
South Africa,medium development,0.709,Excellent,10496234,1581210,Critical Testing Shortage,8
Uruguay,high development,0.817,Excellent,1235341,198428,Critical Testing Shortage,8
Hungary,high development,0.854,Excellent,4922704,779348,Critical Testing Shortage,8
Jordan,medium development,0.729,Excellent,4808039,711373,Critical Testing Shortage,8
Iraq,medium development,0.674,Excellent,6855019,1065199,Critical Testing Shortage,8
Kuwait,high development,0.806,Excellent,2080415,273991,Critical Testing Shortage,9
Namibia,medium development,0.646,Excellent,371679,48351,Critical Testing Shortage,9
Nepal,medium development,0.602,Excellent,2410604,323187,Critical Testing Shortage,9
Mozambique,low development,0.456,Excellent,510150,69917,Critical Testing Shortage,9
Bangladesh,medium development,0.632,Excellent,5444255,759132,Critical Testing Shortage,9
Sweden,high development,0.945,Excellent,8299676,973604,Critical Testing Shortage,10
Qatar,high development,0.848,Excellent,1848471,205652,Critical Testing Shortage,10
Switzerland,high development,0.955,Excellent,6470107,659974,Critical Testing Shortage,11
