Location,Date,TodayCases,YesterdayCases,DailyCasesSpikeTiers
Afghanistan,2021-04-16,78,42,Monitor
Afghanistan,2021-04-17,109,78,Monitor
Afghanistan,2021-04-18,72,109,Excellent Measures in Place
Afghanistan,2021-04-19,105,72,Monitor
Afghanistan,2021-04-20,139,105,Monitor
Afghanistan,2021-04-21,177,139,Monitor
Afghanistan,2021-04-22,98,177,Excellent Measures in Place
Afghanistan,2021-04-23,230,98,Investigate
Afghanistan,2021-04-24,188,230,Excellent Measures in Place
Afghanistan,2021-04-25,113,188,Excellent Measures in Place
Afghanistan,2021-04-26,172,113,Investigate
Afghanistan,2021-04-27,210,172,Monitor
Afghanistan,2021-04-28,145,210,Excellent Measures in Place
Afghanistan,2021-04-29,206,145,Investigate
Afghanistan,2021-04-30,169,206,Excellent Measures in Place
Africa,2020-02-13,0,NULL,Excellent Measures in Place
Africa,2020-02-14,1,0,Excellent Measures in Place
Africa,2020-02-15,0,1,Excellent Measures in Place
Africa,2020-02-16,0,0,Excellent Measures in Place
Africa,2020-02-17,0,0,Excellent Measures in Place
Africa,2020-02-18,0,0,Excellent Measures in Place
Africa,2020-02-19,0,0,Excellent Measures in Place
Africa,2020-02-20,0,0,Excellent Measures in Place
Africa,2020-02-21,0,0,Excellent Measures in Place
Africa,2020-02-22,0,0,Excellent Measures in Place
Africa,2020-02-23,0,0,Excellent Measures in Place
Africa,2020-02-24,0,0,Excellent Measures in Place
Africa,2020-02-25,1,0,Excellent Measures in Place
Africa,2020-02-26,0,1,Excellent Measures in Place
Africa,2020-02-27,0,0,Excellent Measures in Place
Africa,2020-02-28,1,0,Excellent Measures in Place
Africa,2020-02-29,0,1,Excellent Measures in Place
Africa,2020-03-01,1,0,Excellent Measures in Place
Africa,2020-03-02,4,1,Good Measures in Place
Africa,2020-03-03,3,4,Excellent Measures in Place
Africa,2020-03-04,10,3,Standard
Africa,2020-03-05,3,10,Excellent Measures in Place
Africa,2020-03-06,19,3,Monitor
Africa,2020-03-07,0,19,Excellent Measures in Place
Africa,2020-03-08,40,0,Monitor
Africa,2020-03-09,8,40,Excellent Measures in Place
Africa,2020-03-10,13,8,Standard
Africa,2020-03-11,14,13,Excellent Measures in Place
Africa,2020-03-12,16,14,Good Measures in Place
Africa,2020-03-13,42,16,Monitor
Africa,2020-03-14,78,42,Monitor
Africa,2020-03-15,59,78,Excellent Measures in Place
Africa,2020-03-16,87,59,Monitor
Africa,2020-03-17,84,87,Excellent Measures in Place
Africa,2020-03-18,116,84,Monitor
Africa,2020-03-19,180,116,Investigate
Africa,2020-03-20,188,180,Standard
Africa,2020-03-21,204,188,Monitor
Africa,2020-03-22,265,204,Investigate
Africa,2020-03-23,381,265,Investigate
Africa,2020-03-24,432,381,Investigate
Africa,2020-03-25,523,432,Investigate
Africa,2020-03-26,553,523,Monitor
Africa,2020-03-27,559,553,Standard
Africa,2020-03-28,340,559,Excellent Measures in Place
Africa,2020-03-29,560,340,Investigate
Africa,2020-03-30,411,560,Excellent Measures in Place
Africa,2020-03-31,585,411,Investigate
Africa,2020-04-01,599,585,Monitor
Africa,2020-04-02,651,599,Investigate
Africa,2020-04-03,882,651,Investigate
Africa,2020-04-04,679,882,Excellent Measures in Place
Africa,2020-04-05,706,679,Monitor
Africa,2020-04-06,701,706,Excellent Measures in Place
Africa,2020-04-07,633,701,Excellent Measures in Place
Africa,2020-04-08,804,633,Investigate
Africa,2020-04-09,812,804,Standard
Africa,2020-04-10,663,812,Excellent Measures in Place
Africa,2020-04-11,716,663,Investigate
Africa,2020-04-12,864,716,Investigate
Africa,2020-04-13,774,864,Excellent Measures in Place
Africa,2020-04-14,970,774,Investigate
Africa,2020-04-15,957,970,Excellent Measures in Place
Africa,2020-04-16,1168,957,Investigate
Africa,2020-04-17,1406,1168,Investigate
Africa,2020-04-18,1306,1406,Excellent Measures in Place
Africa,2020-04-19,1209,1306,Excellent Measures in Place
Africa,2020-04-20,1158,1209,Excellent Measures in Place
Africa,2020-04-21,1070,1158,Excellent Measures in Place
Africa,2020-04-22,1402,1070,Investigate
Africa,2020-04-23,1438,1402,Monitor
Africa,2020-04-24,1719,1438,Investigate
Africa,2020-04-25,1231,1719,Excellent Measures in Place
Africa,2020-04-26,1534,1231,Investigate
Africa,2020-04-27,1334,1534,Excellent Measures in Place
Africa,2020-04-28,1627,1334,Investigate
Africa,2020-04-29,2013,1627,Investigate
Africa,2020-04-30,1946,2013,Excellent Measures in Place
Africa,2020-05-01,1726,1946,Excellent Measures in Place
Africa,2020-05-02,2228,1726,Investigate
Africa,2020-05-03,1594,2228,Excellent Measures in Place
Africa,2020-05-04,2658,1594,Investigate
Africa,2020-05-05,2038,2658,Excellent Measures in Place
Africa,2020-05-06,2546,2038,Investigate
Africa,2020-05-07,2490,2546,Excellent Measures in Place
